x,y,name
2.9344,8.48534,상품검증 계리지원업무 담당자
3.7950613,9.055921,IFRS17/ K-ICS 현금흐름 모델링 담당자
4.651024,9.148359,내부회계관리 담당자
3.2835746,3.3231401,SoC ASIC 설계 엔지니어
0.37541902,6.810746,국책 과제 Project Manager
0.91385126,2.8826494,NPU Architect
1.7292789,2.6696227,RTL 기반 HW IP 설계 엔지니어
3.9852576,10.161119,회계/재무 전문가
2.3884256,8.7779255,경영지원 매니저
4.608023,7.385148,People&Culture팀  (HRM) 팀장
4.3424926,7.633028,People&Culture팀 HRM
-7.0170054,5.2782116,People&Culture팀 HRD(조직문화 담당) 팀장
0.72749984,-0.9180169,JAVA 풀스택개발자및 유지보수 엔지니어
0.8319987,3.984474,데이터 사이언티스트/back-end 엔지니어
-2.6084015,7.219627,핀테크 서비스 기획
-3.2720823,10.750288,콘텐츠팀 리드 (콘텐츠 기획)
1.5757154,-1.6082692,웹 프론트엔드 개발자
7.396109,4.1351676,해외영업(바이오인식 솔루션)
2.7379746,6.199029,바이오(Biologist) 2팀
0.39176905,8.140146,Operation Manager
4.500489,9.479645,회계팀 해외법인업무 담당자
2.1213458,7.1482906,연구기획팀 담당자
2.1103115,9.400152,RA2팀 임상담당자
1.175619,9.970433,영업관리팀(IVD/분자 아프리카 전담)
5.337742,9.108982,내부회계 담당자
3.1614165,3.2424903,소프트웨어 개발자
2.302582,10.832615,IR팀
-6.274353,9.371662,디자인팀
2.6571815,6.8584833,RA1팀
-0.17374703,11.272362,리테일 세일즈 담당자
-2.3757367,6.778054,이커머스 물류 플랫폼 서비스 기획 (신입)
0.78711873,10.548903,물류운영팀 Manager
-3.8625588,11.154256,시니어 그래픽 디자이너
1.4412259,-1.6138712,"웹프로그래머(jsp, java, php)"
3.9683945,10.069516,경영기획팀_자금/총무 담당자 (주니어)
-6.475393,10.835527,콘텐츠 편집자
-2.528811,4.498445,챗봇 시스템 백엔드 개발자
1.8155935,6.40791,Field Service engineer (대전 근무)
-0.5564716,9.662775,사업제휴 2년이상
2.1530051,1.4625881,React Native 앱 개발자(Senior)
0.8760135,-1.892921,Frontend Engineer
-1.9444565,1.0673326,Backend Engineer
-0.99624866,10.954202,브랜드 매니저
2.1799293,9.053871,수행비서 및 총무
0.86347735,10.067008,상업공간(매장) 근무 직원
-4.8249993,9.636641,마케터
2.0729795,-1.7737725,웹 프론트엔드 개발자
-4.9894953,9.56709,그래픽 디자이너
-8.249891,8.085228,캐릭터/프랍 어셋
3.1852832,2.6444201,UE프로그래머
-8.195704,8.131552,애니메이터
-8.199021,7.7754264,캐릭터/프랍 리깅
-7.612871,8.156687,라이팅/룩뎁
-7.8540497,8.162023,FX
1.910269,2.0100298,파이프라인TA
1.7516088,9.158864,기획/전략
-7.2724023,7.677594,"게임기획(전투,컨텐츠,레벨)"
-7.3773785,8.544713,"3D배경 프랍 모델러(PC,콘솔)"
-1.1378266,2.15536,Full-stack 개발 시니어
0.12252801,-0.1512662,backend- 플랫폼 개발
-1.1102477,12.358111,자사몰 마케팅 기획 및 프로모션 담당자
-4.5460944,3.3772876,Mobile/Data QA Engineer
0.44758335,9.9564905,[송도] 영업본부 영업기획팀 사무행정
3.6319294,4.446066,전기차 충전기 SW 개발
-1.0421158,1.0046003,전기차 충전 서버 개발
0.4662138,12.776465,쇼핑몰 상품운영팀 MD
2.1235964,2.725307,안드로이드 개발자
2.4005456,8.016409,"경영지원, 국가과제 관리"
1.0009798,-1.309607,프론트엔드 엔지니어
-4.546238,10.686737,유튜브 PD(기획/편집)
1.2877511,10.772548,무역영업(글로벌사업본부)
-1.5654167,8.167243,서비스 및 커뮤니티 운영
-2.4032218,10.711902,마케팅전략팀 디지털 마케터(스포츠사업부문)
-2.8606553,11.1279545,마케팅전략팀 디지털 마케터(유니언타운 및 호텔 부문)
-4.5971065,8.551209,BX 디자이너
1.8351674,8.860286,여신심사 총괄이사
1.5300826,2.2294462,블록체인 연구 및 DApp 개발자
1.9659758,-0.38265264,웹 풀스택 개발자
0.15259159,0.20275146,웹UI 개발
-3.2604058,13.758587,콘테츠/퍼포먼스 마케터
1.9890308,0.25657448,웹 프론트엔드 개발자
-5.856068,6.612171,웹 기획 디자이너
-3.0748122,12.623524,마케팅 AE
0.76378566,8.468779,기술지원영업
3.1182065,9.03987,비서/총무
3.049896,8.589241,인사·경영지원
-0.69243354,3.7924664,Frontend Developer / 프론트엔드 개발자
0.8957192,11.764017,해외온라인 마켓 MD
0.38390824,-1.6676702,프론트/백엔드 개발자
-0.7882737,1.0804605,백엔드 개발자 (1년 이상)
-4.2320523,6.5907583,서비스 기획자
-0.82461023,2.4892845,머신러닝/데이터 엔지니어
-3.9037552,3.6857574,게임&웹 QA
-4.5833926,5.7747655,프로덕트 디자이너(UI/UX)
0.28130254,9.278779,상품/MD 기획팀 팀장급
1.723777,8.742047,경영 전략
1.2458559,0.58141726,항만 솔루션 개발/운영
3.911497,1.4253054,개인맞춤영양 앱개발자
3.7609198,9.033963,노무관리
-2.1696284,14.531204,퍼포먼스 마케터(주니어)
-4.4352965,10.890181,콘텐츠 PD
2.4415164,1.4824775,Windows Application 개발자
-3.6048794,11.555022,디지털 마케터
0.45819393,11.386836,E-Commerce 운영
0.8838276,9.542446,B2b 영업담당자 (Sales Manager)
1.7411852,3.2793744,메타버스 콘텐츠 개발 (Unity)
4.1461167,9.3292,경영지원 담당자
-0.3959728,6.6273255,CX 매니저
-4.073692,12.990236,SNS 채널 운영 및 마케팅 기획
0.058707282,10.558272,식품음료 및 건강기능식품 개발담당
0.014145361,12.326036,명품편집샵 바잉MD
-5.4125705,5.838097,UX/UI 디자이너
-1.4572158,9.345574,CS담당
5.2468123,5.842003,Inhouse Recruiter
-4.027604,12.052153,콘텐츠 마케팅팀
-3.527796,11.422592,마케팅 영업
-3.0629337,8.776318,CS/CX 담당자
4.107888,1.5080646,R&D센터_iOS 개발
-1.3575156,3.9855645,[jentestore] Node.js Developer (Node.js 개발자)
2.904619,7.688898,"General Affairs Manager (경영지원, 총무)"
-2.647256,10.06925,구매담당자
-3.644011,3.402613,QA 엔지니어 (QA Engineer)
1.7610376,8.428739,경영지원/총무 부문
-6.1074667,8.469359,"일러스트레이터, 브랜드 마케팅 디자이너"
-3.0376084,8.903918,디자이너
0.1250069,-1.2129865,웹개발자
-1.4666722,5.434501,게임 월드 레벨 디자인
1.5473105,4.1564636,Software Engineer - 추천 시스템
-2.8363922,6.019853,P.O (Product Owner)
-3.7484777,11.0237875,브랜드 마케터(Brand marketer)
-6.0311747,6.6295967,UX디자이너
0.94632554,0.8001645,얼굴인식 기반 서버설계/시스템구축
-0.13746022,5.878906,빅데이터 시스템 구축 프로젝트 사업예산 관리
0.53007644,9.267963,Crafters Japan 전략기획
-1.363711,6.365025,모바일 게임 기획자
5.1377335,6.469333,Tech Recruiter
2.6524339,0.13546196,"프론트엔드(React, Angular) 개발 팀장"
1.7195129,2.6858463,IOS App 개발
1.2628658,4.9429703,블록체인 사업 개발 & 기획
-1.3562248,10.514437,IP Specialist (Paralegal)
-1.8947184,9.408481,브랜드길드 - 큐레이션 커머스 MD
1.6351221,-1.9408478,웹 퍼블리셔
-1.7805362,8.222793,서비스기획자
-4.133259,3.394008,QA Team Lead
-0.59642875,8.036832,커뮤니티 매니저
-2.0617995,11.316613,Product Owner (플랫폼 ＞ 콘텐츠 )
1.7512861,10.222972,SCM팀 팀장
-1.3432645,10.373304,[시모먼트] abm
2.0253544,2.9539702,Dart & Flutter 개발
3.246409,9.982105,경영지원 담당자
-3.2641819,7.037023,서비스 기획자 (UX 기획)
1.76966,-0.22310078,IT개발팀 자바개발
2.8252702,2.558405,ios개발자 (시니어)
-0.794649,8.39683,기술영업 Technical Sales 담당자 (시니어/이사급)
-2.4155636,11.224054,브랜드 마케팅
-0.5067002,6.956922,플랫폼 운영/관리 총괄
-1.0006377,4.62613,[챌린저스] 건강기능식품 영업/소싱 MD
-1.1818539,-1.0053078,백엔드 개발자 (node.js)
-1.7931523,2.508671,데이터엔지니어 (3년 이상)
2.0730734,8.401462,정부지원사업/국내사업기획
-1.1246915,2.6622753,Data Engineer
-0.64390886,8.832663,영업담당
1.4825217,8.248274,품질관리책임자
4.9306593,9.879883,재무회계 팀장
-1.3692838,6.3628564,Business Analyst(5년 이상)
0.17841902,10.0100355,해외영업 그룹장
-6.6628795,7.1141644,UI UX 디자이너
